gene_symbol,Ubxn11
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
parameter_id,MGP_PBI_003_001
analysis_id,e7l8l97u77j32z7
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.1451136
