analysis_id,k91iz241ie6ar05
gene_symbol,Dhdds
parameter_id,M-G-P_016_001_006
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Mean-corpuscular-haemoglobin
pvalue,0.4506999
