analysis_id,tpt52t5ow56b072
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Center average speed
pvalue,0.9005078
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_id,JAX_OFD_017_001
