analysis_id,215gg055omt2347
parameter_name,Placenta Morphology
gene_accession_id,MGI:1931322
parameter_id,IMPC_GPO_002_001
pvalue,0.3837504
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Car13
