gene_symbol,Tbl1xr1
mouse_strain,C57BL
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
pvalue,0.3369299
analysis_id,h634wa463yxw1a8
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
parameter_id,IMPC_FEA_107_001
