parameter_name,Total holepokes
mouse_life_stage,Early adult
analysis_id,a2l0qut2yr88n95
pvalue,0.6304102
mouse_strain,C57BL
parameter_id,JAXLA_HBD_001_001
gene_symbol,AU040320
gene_accession_id,MGI:2140475
