analysis_id,x6132084k2p08ll
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ift74
parameter_name,Eosinophil number
pvalue,0.1434455
parameter_id,MGP_PBI_040_001
gene_accession_id,MGI:1914944
