parameter_name,NKT cells (panel A)
mouse_life_stage,Early adult
gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_id,IMPC_IMM_004_001
analysis_id,9m823wnict8k7dq
mouse_strain,C57BL
pvalue,0.9198714
