parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
gene_symbol,Trpa1
pvalue,0.9091078
gene_accession_id,MGI:3522699
parameter_name,center - resting time
mouse_strain,C57BL
analysis_id,3y53okqblwm4p5o
