analysis_id,a3p2356c9r8e9na
mouse_strain,C57BL
parameter_id,ESLIM_007_001_003
parameter_name,Whole arena resting time
gene_symbol,Kcng1
pvalue,0.9496914
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
