gene_symbol,F2
gene_accession_id,MGI:88380
parameter_id,IMPC_EYE_004_001
analysis_id,3x2ssa4u8t017jk
pvalue,0.7006494
mouse_strain,C57BL
parameter_name,Eyelid morphology
mouse_life_stage,Early adult
