parameter_id,ICS_FEA_019_001
pvalue,0.9838052
analysis_id,14n7va765y4q878
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
gene_symbol,Lcn2
mouse_strain,C57BL
gene_accession_id,MGI:96757
