parameter_name,Fat/Body weight
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
gene_symbol,Lamb3
pvalue,0.457164
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
analysis_id,415176k2lo2843b
