parameter_name,Startle Response
gene_symbol,Ncaph
mouse_strain,C57BL
pvalue,0.5746769
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
analysis_id,7725n0il140f9q1
parameter_id,M-G-P_008_001_013
