analysis_id,lmadhkw75n37v08
parameter_id,MGP_MLN_014_001
mouse_life_stage,Early adult
pvalue,0.3308642
gene_accession_id,MGI:109585
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_symbol,Pld1
