parameter_name,Tremor
analysis_id,85z1c8ju0w7i5p3
pvalue,0.9439831
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
