analysis_id,5n5j520968axh90
mouse_strain,C57BL
parameter_id,ESLIM_011_001_009
gene_symbol,Zfp683
pvalue,0.1217264
gene_accession_id,MGI:3650254
parameter_name,PP3 + pulse startle magnitude
mouse_life_stage,Early adult
