analysis_id,94j28948i167822
gene_symbol,Kdm4c
pvalue,0.8280129
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
