gene_symbol,Jun
gene_accession_id,MGI:96646
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,MGP_IMM_028_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
pvalue,0.7690964
analysis_id,4821552u5282n8e
