analysis_id,48l097ifg1y8265
parameter_id,IMPC_CBC_012_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4210925
gene_accession_id,MGI:1918764
parameter_name,Aspartate aminotransferase
gene_symbol,Sfpq
