parameter_id,JAXLA_ECG_002_001
mouse_strain,C57BL
analysis_id,jlv1k5f64073naw
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.4442239
parameter_name,HR
