analysis_id,742wkv690ips718
parameter_name,Startle Response
mouse_strain,C57BL
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_id,M-G-P_008_001_013
pvalue,0.4287734
gene_accession_id,MGI:1920344
