analysis_id,zcx5v6p6je9meb9
gene_symbol,Alkbh3
pvalue,0.336969
parameter_name,18kHz-evoked ABR Threshold
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_008_001
gene_accession_id,MGI:1916363
mouse_strain,C57BL
