analysis_id,bfb8nwgh61275s1
gene_symbol,Eprs1
parameter_name,Neutrophil cell count
pvalue,0.9707142
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:97838
