parameter_name,Basophil cell count
gene_accession_id,MGI:1915678
pvalue,0.7751075
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
analysis_id,9gp8cz8ne3w2lno
gene_symbol,Steap3
mouse_strain,C57BL
