analysis_id,9m8pu510127e4uy
parameter_id,IMPC_GEL_029_001
parameter_name,Midbrain
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Atf3
gene_accession_id,MGI:109384
pvalue,0.2962131
