analysis_id,06l4regf939890g
parameter_id,MGP_IMM_101_001
pvalue,0.2740029
gene_symbol,Tnfsf8
mouse_strain,C57BL
gene_accession_id,MGI:88328
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
