parameter_id,IMPC_HEM_005_001
analysis_id,113ka3uc8rmui71
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
gene_symbol,Opn3
parameter_name,Mean cell volume
pvalue,0.3975536
mouse_strain,C57BL
