mouse_life_stage,Late adult
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_name,Cornea vascularisation
analysis_id,9q42214nv886367
pvalue,0.1223837
gene_symbol,Snap23
parameter_id,ESLIM_014_001_008
