parameter_name,Fat/Body weight
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
parameter_id,IMPC_DXA_009_001
analysis_id,7419m14lj52hm11
pvalue,0.6097453
mouse_strain,C57BL
mouse_life_stage,E18.5
