analysis_id,91e430r8n1az916
pvalue,0.4715861
gene_symbol,Ahcy
parameter_id,MGP_IMM_112_001
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Follicular B cells - % of CD45+
gene_accession_id,MGI:87968
