parameter_name,LDL-cholesterol
gene_accession_id,MGI:99605
pvalue,0.9298317
mouse_strain,C57BL
analysis_id,l1zv567gsp586e0
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_025_001
gene_symbol,Cntfr
