gene_symbol,Galk2
pvalue,0.58646
mouse_strain,C57BL
gene_accession_id,MGI:1917226
parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,Early adult
analysis_id,v4865658clo37y2
parameter_id,IMPC_IMM_046_001
