analysis_id,jvdfk3ujp2458y8
mouse_strain,C57BL
parameter_name,Total B cells - % of CD45+
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_id,MGP_IMM_041_001
mouse_life_stage,Early adult
pvalue,0.8552281
