parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:2443129
gene_symbol,Golm2
analysis_id,t8414l3726jquyc
parameter_name,Latency to first transition into dark
pvalue,0.7152223
mouse_strain,C57BL
mouse_life_stage,Early adult
