parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
mouse_strain,C3H
gene_symbol,Mecom
analysis_id,897rshk8t120xwj
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
pvalue,0.7487627
