gene_symbol,Trp53rkb
analysis_id,2nt7ma5mplv0p3i
parameter_name,IgD+ mature B cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4212347
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:1914050
