analysis_id,80831g33g0008v4
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.4798405
parameter_id,MGP_IMM_081_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:105073
gene_symbol,Tnni1
