analysis_id,6503se06n6srg1e
gene_symbol,MGST2
pvalue,1.318279
parameter_id,IMPC_FEA_106_001
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
