analysis_id,k81qo1871l9w0g5
gene_accession_id,MGI:2684980
pvalue,0.8915605
gene_symbol,Mms22l
mouse_strain,C57BL
parameter_name,Chloride
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
