gene_symbol,Gja10
mouse_life_stage,Early adult
parameter_name,Calcium
analysis_id,6l03w84h6zvlv05
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:1339969
pvalue,0.3228634
mouse_strain,C57BL
