parameter_id,MGP_IMM_121_001
pvalue,0.3980731
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
analysis_id,a3kd61i119zd1w7
gene_symbol,Dnajc8
parameter_name,Macrophages - % of CD45+
mouse_strain,C57BL
