parameter_id,UCDLA_EYE_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:108072
analysis_id,qx693d2wbunx779
gene_symbol,Traf6
pvalue,0.3310901
parameter_name,Lens Opacity
