parameter_name,Midbrain
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:109585
gene_symbol,Pld1
mouse_strain,C57BL
pvalue,0.3821693
mouse_life_stage,Early adult
analysis_id,k1pe5124vp3p747
