parameter_id,MGP_BMI_013_001
parameter_name,Immature B cells (Hardy fraction E) - % of CD45+
gene_accession_id,MGI:2441730
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
analysis_id,grd8urh1t007f3c
pvalue,0.3726699
