gene_symbol,Gfi1b
parameter_name,Hindlimb digit - size
parameter_id,IMPC_CSD_047_001
pvalue,0.4219292
analysis_id,7rz7kac83titi08
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
mouse_strain,C57BL
