analysis_id,q4348xa4jz1u53c
parameter_name,Tibia length
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.8064313
mouse_life_stage,E12.5
parameter_id,TCPLA_XRY_033_001
gene_symbol,Bcs1l
