parameter_name,Response amplitude - S
analysis_id,4z1q2m7l0xd06v5
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
pvalue,0.6215569
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
