parameter_id,HMGULA_DYS_024_001
pvalue,0.6445075
gene_symbol,Kifap3
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:107566
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,626o7iz3qmsf55i
