gene_symbol,Hnf4a
pvalue,0.2473868
parameter_name,Radius
analysis_id,sj97j94fpvtug64
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
