gene_symbol,Cds2
mouse_strain,129SV
pvalue,0.2269039
mouse_life_stage,Early adult
analysis_id,ar9724k9318999d
parameter_name,Facial Morphology
gene_accession_id,MGI:1332236
parameter_id,IMPC_GEP_017_001
