gene_symbol,Nucks1
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
gene_accession_id,MGI:1934811
analysis_id,5n0m3ee17369c2w
mouse_strain,C57BL
pvalue,0.7787322
