analysis_id,b1r82s76o7av9jv
pvalue,0.6594825
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ivd
gene_accession_id,MGI:1929242
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_010_001
