gene_symbol,Ilkap
gene_accession_id,MGI:1914694
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7928696
analysis_id,47z5417ph05c7qx
parameter_name,Creatinine
parameter_id,JAX_URI_002_001
