parameter_name,Spleen weight
mouse_strain,C57BL
gene_symbol,Zyg11b
analysis_id,wrz8b2bp5iegm1b
gene_accession_id,MGI:2685277
pvalue,0.7653051
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
