gene_symbol,Cdin1
pvalue,0.9904478
mouse_strain,C57BL
parameter_id,MGP_IMM_112_001
parameter_name,Follicular B cells - % of CD45+
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
analysis_id,07u6c5159du0h10
