analysis_id,wj03vmfefx9a5un
parameter_name,Center permanence time
mouse_life_stage,Early adult
gene_symbol,Npbwr1
mouse_strain,C57BL
parameter_id,IMPC_OFD_016_001
pvalue,0.3768172
gene_accession_id,MGI:891989
