parameter_name,Liver weight
pvalue,0.1868312
gene_accession_id,MGI:3588214
parameter_id,UCD_OWT_008_001
analysis_id,099xjl2fvswy045
mouse_strain,C57BL
gene_symbol,Rufy4
mouse_life_stage,Early adult
