analysis_id,xpr9w5pl9y1v392
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
parameter_id,IMPC_CBC_003_001
mouse_strain,C57BL
gene_symbol,Hspa5
parameter_name,Chloride
pvalue,0.9056653
