analysis_id,j3m39s3vu66r658
gene_symbol,Wars2
mouse_life_stage,E9.5
pvalue,0.1965541
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:1917810
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
