parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:1917810
gene_symbol,Wars2
analysis_id,95oa8t24n4kr854
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
pvalue,0.8707104
