analysis_id,wo3r90gvm721g96
pvalue,0.7552793
gene_accession_id,MGI:105073
parameter_name,Center average speed
gene_symbol,Tnni1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_017_001
