parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
analysis_id,rt446x0v5507avj
mouse_life_stage,Early adult
gene_symbol,Slc45a3
mouse_strain,C57BL
gene_accession_id,MGI:1922082
pvalue,0.1192081
