gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
analysis_id,9bcn7x5l92qg088
parameter_name,Percentage center time
pvalue,0.9855915
parameter_id,JAX_OFD_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
